Mon Dec 16 00:41:01 2019,9965,1,8.2,-7.1,-2.51,3.6,7.87,8.95,2
Mon Dec 16 00:41:01 2019,9966,1,7.54,-7.84,-2.55,-0.46,10.88,5.45,2
Mon Dec 16 00:41:01 2019,9967,1,7.73,-7.88,-2.66,0.21,6.24,8.69,2
Mon Dec 16 00:41:01 2019,9968,1,7.49,-8.23,-2.33,3.14,14.9,9.63,2
Mon Dec 16 00:41:01 2019,9969,1,7.57,-8.38,-2.17,-1.89,5.15,8.31,2
Mon Dec 16 00:41:01 2019,9970,1,7.46,-8.27,-2.36,1.66,2.09,-1.63,2
Mon Dec 16 00:41:02 2019,9971,1,7.82,-8,-2.43,-1.76,2.13,-3.27,2
Mon Dec 16 00:41:02 2019,9972,1,7.65,-8.16,-2.28,-0.11,0.6,-2.25,2
Mon Dec 16 00:41:02 2019,9973,1,7.76,-7.93,-2.15,-0.66,-2.55,2.05,2
Mon Dec 16 00:41:02 2019,9974,1,7.55,-8.14,-2.25,-1.55,-1.69,2.11,2
Mon Dec 16 00:41:02 2019,9975,1,7.72,-8.26,-2.25,1.02,-1.24,-3.17,2
Mon Dec 16 00:41:02 2019,9976,1,7.8,-8,-2.34,2.88,-0.46,-1.16,2
Mon Dec 16 00:41:02 2019,9977,1,7.7,-8.11,-2.11,2.3,-2.25,2.36,2
Mon Dec 16 00:41:02 2019,9978,1,7.59,-8.11,-2.11,1.33,-2.49,0.08,2
Mon Dec 16 00:41:02 2019,9979,1,7.69,-8.15,-2.12,2.81,-1.6,-1.05,2
Mon Dec 16 00:41:02 2019,9980,1,7.73,-8.12,-2.36,1.79,-1.63,-1.24,2
Mon Dec 16 00:41:02 2019,9981,1,7.75,-8.16,-2.17,2.94,-2.18,-1.3,2
Mon Dec 16 00:41:02 2019,9982,1,7.8,-7.97,-2.1,1.89,-3.37,0.53,2
Mon Dec 16 00:41:02 2019,9983,1,7.57,-8.14,-2.21,1.03,-1.68,-0.65,2
Mon Dec 16 00:41:02 2019,9984,1,7.75,-8.11,-2.14,0.88,-0.89,-2.24,2
Mon Dec 16 00:41:02 2019,9985,1,7.69,-8.05,-2.17,3.03,-3.29,0.43,2
Mon Dec 16 00:41:02 2019,9986,1,7.67,-8.05,-2.09,2.07,-3.02,1.86,2
Mon Dec 16 00:41:02 2019,9987,1,7.69,-8.13,-2.18,3.29,-3.27,-1.51,2
Mon Dec 16 00:41:03 2019,9988,1,7.71,-8.04,-2.26,0.92,-1.23,0.02,2
Mon Dec 16 00:41:03 2019,9989,1,7.68,-8.03,-2.01,0.79,-1.09,-0.64,2
Mon Dec 16 00:41:03 2019,9990,1,7.83,-8.04,-2.05,2.27,-2.27,-0.06,2
Mon Dec 16 00:41:03 2019,9991,1,7.72,-8.07,-2.12,3.44,-3.41,0.34,2
Mon Dec 16 00:41:03 2019,9992,1,7.69,-7.98,-2.12,1.84,-2.44,-0.15,2
Mon Dec 16 00:41:03 2019,9993,1,7.72,-8.02,-2.14,1.26,-1.6,-0.24,2
Mon Dec 16 00:41:03 2019,9994,1,7.67,-8.21,-2.15,2.19,-1.47,-2.71,2
Mon Dec 16 00:41:03 2019,9995,1,7.7,-8.09,-2.08,5.7,-1.76,-2.75,2
Mon Dec 16 00:41:03 2019,9996,1,7.86,-8,-2.11,7.09,-2.68,-1.63,2
Mon Dec 16 00:41:03 2019,9997,1,7.72,-7.92,-2.03,5.65,-2.71,-1.77,2
Mon Dec 16 00:41:03 2019,9998,1,7.74,-8.03,-2.09,2.66,-2.4,-0.98,2
Mon Dec 16 00:41:03 2019,9999,1,7.75,-7.99,-2.1,3.27,-1.04,-0.32,2
Mon Dec 16 00:41:03 2019,10000,1,7.84,-8,-2.02,2.32,-2.42,-0.73,2
Mon Dec 16 00:41:03 2019,10001,1,7.78,-8.06,-1.94,2.37,-3.01,0.42,2
Mon Dec 16 00:41:03 2019,10002,1,7.64,-8.04,-1.99,4.21,-3.25,-0.7,2
Mon Dec 16 00:41:03 2019,10003,1,7.8,-7.94,-2.09,1.73,-2.39,-0.95,2
Mon Dec 16 00:41:03 2019,10004,1,7.74,-8.02,-2.18,1.37,-1.58,-1.26,2
Mon Dec 16 00:41:03 2019,10005,1,7.85,-7.97,-2.08,1.86,-1.63,0.27,2
