Mon Dec 21 16:52:35 2020	 76.0	 2.00000	 -3.25000	 -0.14000	 -7.79000	 8.40000	 -13.11000	 17.22000	 0.00000  	2	
Mon Dec 21 16:52:36 2020	 77.0	 2.00000	 -0.04000	 -0.17000	 -7.86000	 3.47000	 -169.11000	 -37.57000	 0.00000  	2	
Mon Dec 21 16:52:37 2020	 78.0	 2.00000	 0.41000	 1.07000	 -4.27000	 33.73000	 1.31000	 -15.83000	 0.00000  	2	
Mon Dec 21 16:52:38 2020	 79.0	 2.00000	 -0.60000	 -1.05000	 -8.12000	 -12.97000	 -219.37000	 -17.91000	 0.00000  	2	
Mon Dec 21 16:52:39 2020	 80.0	 2.00000	 1.01000	 -0.32000	 -7.07000	 1.99000	 -32.34000	 -1.47000	 0.00000  	2	
Mon Dec 21 16:52:40 2020	 81.0	 2.00000	 0.01000	 -0.38000	 -8.30000	 7.70000	 -7.58000	 10.31000	 0.00000  	2	
Mon Dec 21 16:52:41 2020	 82.0	 2.00000	 -0.21000	 1.74000	 -4.78000	 74.06000	 40.42000	 2.19000	 0.00000  	2	
Mon Dec 21 16:52:42 2020	 83.0	 2.00000	 5.67000	 -1.04000	 -5.12000	 -4.11000	 -57.62000	 -5.83000	 0.00000  	2	
Mon Dec 21 16:52:43 2020	 84.0	 2.00000	 0.31000	 -0.59000	 -6.67000	 10.85000	 -11.40000	 -5.28000	 0.00000  	2	
Mon Dec 21 16:52:44 2020	 85.0	 2.00000	 0.12000	 -0.51000	 -7.19000	 -4.91000	 -2.18000	 1.06000	 0.00000  	2	
Mon Dec 21 16:52:45 2020	 86.0	 2.00000	 0.23000	 -0.51000	 -7.32000	 -4.89000	 -6.15000	 0.99000	 0.00000  	2	
Mon Dec 21 16:52:46 2020	 87.0	 2.00000	 -0.12000	 -0.44000	 -7.32000	 -5.24000	 -2.04000	 0.88000	 0.00000  	2	
Mon Dec 21 16:52:47 2020	 88.0	 2.00000	 -0.03000	 -0.46000	 -7.37000	 -4.61000	 -2.31000	 1.16000	 0.00000  	2	
Mon Dec 21 16:52:48 2020	 89.0	 2.00000	 0.14000	 -0.52000	 -7.16000	 -5.04000	 -2.08000	 1.02000	 0.00000  	2	
Mon Dec 21 16:52:49 2020	 90.0	 2.00000	 0.07000	 -0.50000	 -7.19000	 -5.19000	 -2.25000	 1.01000	 0.00000  	2	
Mon Dec 21 16:52:50 2020	 91.0	 2.00000	 0.35000	 -0.54000	 -7.06000	 -4.54000	 -2.97000	 0.96000	 0.00000  	2	
Mon Dec 21 16:52:51 2020	 92.0	 2.00000	 0.17000	 -0.50000	 -7.26000	 -4.68000	 -3.66000	 1.06000	 0.00000  	2	
Mon Dec 21 16:52:52 2020	 93.0	 2.00000	 0.12000	 -0.49000	 -7.21000	 -4.92000	 -2.09000	 1.13000	 0.00000  	2	
Mon Dec 21 16:52:53 2020	 94.0	 2.00000	 0.06000	 -0.50000	 -7.05000	 -4.47000	 1.92000	 0.88000	 0.00000  	2	
Mon Dec 21 16:52:54 2020	 95.0	 2.00000	 0.06000	 -0.48000	 -7.51000	 -5.00000	 -7.03000	 1.20000	 0.00000  	2	
Mon Dec 21 16:52:55 2020	 96.0	 2.00000	 0.09000	 -0.53000	 -7.25000	 -4.76000	 -2.35000	 1.19000	 0.00000  	2	
Mon Dec 21 16:52:56 2020	 97.0	 2.00000	 0.25000	 -0.53000	 -7.12000	 -5.30000	 -3.73000	 0.91000	 0.00000  	2	
Mon Dec 21 16:52:57 2020	 98.0	 2.00000	 0.06000	 -0.49000	 -7.37000	 -4.66000	 -1.69000	 1.18000	 0.00000  	2	
Mon Dec 21 16:52:58 2020	 99.0	 2.00000	 0.04000	 -0.56000	 -7.23000	 -4.85000	 -1.82000	 1.23000	 0.00000  	2	
Mon Dec 21 16:52:59 2020	 100.0	 2.00000	 0.12000	 -0.41000	 -7.07000	 -4.95000	 -3.27000	 1.27000	 0.00000  	2	
Mon Dec 21 16:53:00 2020	 101.0	 2.00000	 0.16000	 -0.49000	 -7.19000	 -4.93000	 -2.96000	 0.94000	 0.00000  	2	
Mon Dec 21 16:53:02 2020	 102.0	 2.00000	 0.06000	 -0.49000	 -7.16000	 -4.75000	 -0.83000	 0.94000	 0.00000  	2	
Mon Dec 21 16:53:03 2020	 103.0	 2.00000	 0.24000	 -0.48000	 -7.17000	 -4.98000	 -1.70000	 1.04000	 0.00000  	2	
Mon Dec 21 16:53:04 2020	 104.0	 2.00000	 0.09000	 -0.47000	 -7.16000	 -4.94000	 -2.21000	 1.19000	 0.00000  	2	
Mon Dec 21 16:53:05 2020	 105.0	 2.00000	 0.11000	 -0.46000	 -7.16000	 -4.98000	 -2.15000	 1.06000	 0.00000  	2	
Mon Dec 21 16:53:06 2020	 106.0	 2.00000	 0.13000	 -0.50000	 -7.21000	 -4.77000	 -2.46000	 1.10000	 0.00000  	2	
Mon Dec 21 16:53:07 2020	 107.0	 2.00000	 0.14000	 -0.50000	 -7.25000	 -4.82000	 -2.45000	 1.08000	 0.00000  	2	
Mon Dec 21 16:53:08 2020	 108.0	 2.00000	 0.14000	 -0.47000	 -7.16000	 -4.82000	 -2.21000	 1.05000	 0.00000  	2	
Mon Dec 21 16:53:09 2020	 109.0	 2.00000	 0.08000	 -0.50000	 -7.15000	 -5.07000	 -2.09000	 1.16000	 0.00000  	2	
Mon Dec 21 16:53:10 2020	 110.0	 2.00000	 0.07000	 -0.45000	 -7.20000	 -5.05000	 -2.27000	 1.14000	 810.00000  	2	
Mon Dec 21 16:53:11 2020	 111.0	 2.00000	 0.02000	 -0.51000	 -6.96000	 -4.74000	 0.65000	 1.27000	 1130.00000  	2	
Mon Dec 21 16:53:12 2020	 112.0	 2.00000	 -3.27000	 -0.44000	 -10.36000	 -7.47000	 3.28000	 0.59000	 1130.00000  	2	
Mon Dec 21 16:53:13 2020	 113.0	 2.00000	 0.90000	 -0.40000	 -7.40000	 -4.08000	 -18.53000	 -0.40000	 910.00000  	2	
